X,Y,DAY
40.007672,116.31966,6
40.007308,116.319346,6
40.007313,116.319354,6
40.007327,116.31932,6
40.007201,116.319286,6
40.007046,116.319476,6
40.007004,116.319947,6
40.006816,116.320293,6
40.006794,116.320548,6
40.006702,116.32092,6
40.006587,116.321114,6
40.006331,116.321209,6
40.006026,116.321285,6
40.005743,116.321373,6
40.005439,116.321393,6
40.005143,116.321438,6
40.004941,116.321536,6
40.004717,116.321527,6
40.004505,116.321498,6
40.004299,116.321503,6
40.004092,116.32154,6
40.003817,116.321541,6
40.00351,116.321521,6
40.003178,116.321592,6
40.002866,116.321582,6
40.002589,116.321543,6
40.002287,116.321565,6
40.002011,116.32154,6
40.001714,116.321581,6
40.001449,116.32172,6
40.001119,116.321758,6
40.000842,116.321694,6
40.000528,116.321726,6
40.000242,116.321752,6
40.000006,116.321866,6
39.999887,116.322104,6
39.999901,116.322303,6
39.999965,116.322523,6
39.999975,116.322935,6
39.999981,116.323344,6
39.999938,116.323795,6
39.999936,116.324223,6
39.999928,116.324442,6
39.99995,116.324458,6
39.999867,116.324499,6
39.999935,116.324541,6
39.999938,116.324505,6
39.999892,116.324534,6
39.999864,116.324551,6
39.999936,116.32453,6
39.999684,116.324994,6
39.999433,116.324717,6
39.999743,116.324686,6
39.999394,116.324671,6
39.999897,116.324548,6
40.000154,116.322609,6
39.999606,116.321947,6
39.999677,116.322054,6
39.99988,116.322044,6
40.000058,116.322187,6
40.000405,116.322205,6
40.000774,116.322077,6
40.001128,116.322043,6
40.001545,116.32186,6
40.001885,116.32173,6
40.002275,116.321645,6
40.002622,116.321571,6
40.003002,116.321464,6
40.003298,116.32149,6
40.003696,116.321455,6
40.004017,116.32152,6
40.004405,116.321462,6
40.004639,116.321524,6
40.004897,116.321533,6
40.00537,116.321466,6
40.005836,116.321407,6
40.006187,116.321393,6
40.006444,116.321319,6
40.00677,116.321245,6
40.007126,116.321231,6
40.007456,116.321212,6
40.007823,116.321136,6
40.008207,116.321106,6
40.008646,116.321279,6
40.008877,116.321425,6
40.008926,116.321502,6
40.008994,116.321427,6
40.009064,116.321309,6
40.009145,116.321212,6
40.00913,116.321209,6
40.009046,116.321341,6
40.009009,116.321435,6
40.009043,116.321396,6
40.009049,116.321416,6
40.008979,116.321468,6
40.008926,116.321309,6
40.009053,116.321165,6
40.009247,116.321128,6
40.009387,116.321203,6
40.009523,116.321195,6
40.009532,116.321442,6
40.009342,116.321762,6
40.009105,116.322423,6
40.009418,116.322479,6
40.009818,116.322477,6
40.0101,116.322376,6
40.010188,116.322428,6
40.01008,116.322582,6
40.010092,116.322667,6
40.010054,116.321753,6
40.009811,116.321758,6
40.009553,116.321426,6
40.008831,116.321282,6
40.008932,116.321095,6
40.008928,116.320991,6
40.008937,116.321025,6
40.008911,116.321079,6
40.008941,116.321104,6
40.008896,116.321022,6
40.008899,116.32106,6
40.008914,116.321037,6
40.008923,116.321086,6
40.008949,116.321122,6
40.008973,116.32111,6
40.008998,116.321134,6
40.009028,116.321093,6
40.009063,116.321025,6
40.009044,116.320926,6
40.008992,116.320993,6
40.00898,116.321035,6
40.008999,116.321012,6
40.009003,116.321006,6
40.009005,116.3211,6
40.009153,116.320648,6
40.007725,116.319257,6
40.007499,116.319455,6
40.007537,116.319504,6
40.007537,116.319393,6
40.007364,116.320127,6
40.007369,116.320113,6
40.007368,116.320118,6
40.007364,116.32015,6
40.007351,116.320259,6
40.007282,116.320495,6
40.007314,116.320948,6
40.007349,116.321579,6
40.007375,116.321975,6
40.00625,116.321477,6
40.005849,116.321801,6
40.005484,116.322014,6
40.005158,116.322199,6
40.004814,116.322038,6
40.00459,116.321832,6
40.004345,116.321799,6
40.004018,116.3219,6
40.003809,116.322066,6
40.003605,116.322199,6
40.003376,116.322327,6
40.003103,116.322441,6
40.002918,116.322431,6
40.002551,116.322448,6
40.002335,116.322474,6
40.002287,116.322571,6
40.002289,116.322961,6
40.002201,116.323474,6
40.002075,116.323988,6
40.002005,116.32434,6
40.001943,116.32464,6
40.010572,116.322226,2
40.010688,116.32201,2
40.010694,116.322016,2
40.010675,116.322206,2
40.010668,116.322274,2
40.010663,116.32237,2
40.010639,116.322383,2
40.010584,116.322415,2
40.010483,116.322341,2
40.010562,116.321833,2
40.010258,116.32199,2
40.009927,116.322195,2
40.009448,116.32247,2
40.00916,116.322741,2
40.009172,116.323235,2
40.009187,116.323746,2
40.008929,116.323947,2
40.00854,116.323995,2
40.008129,116.323974,2
40.007773,116.323998,2
40.007434,116.324004,2
40.007128,116.324061,2
40.00675,116.324064,2
40.006449,116.324082,2
40.00604,116.324098,2
40.005709,116.32411,2
40.005342,116.324124,2
40.004866,116.324008,2
40.004542,116.324036,2
40.004185,116.324092,2
40.003794,116.324073,2
40.003459,116.32409,2
40.003148,116.324099,2
40.002858,116.32415,2
40.002608,116.324143,2
40.002212,116.324147,2
40.001815,116.324147,2
40.001474,116.324187,2
40.00111,116.324176,2
40.000712,116.324174,2
40.000315,116.324256,2
39.99996,116.324163,2
39.999622,116.324196,2
39.999281,116.324222,2
39.998839,116.324233,2
39.998532,116.324465,2
39.99852,116.324881,2
39.998485,116.325327,2
39.998099,116.32551,2
39.997813,116.325804,2
39.997438,116.325931,2
39.99704,116.325962,2
39.996597,116.325954,2
39.996193,116.325907,2
39.995835,116.325882,2
39.995462,116.3259,2
39.995076,116.325914,2
39.994732,116.325962,2
39.994386,116.325945,2
39.994113,116.325862,2
39.993935,116.325829,2
39.993876,116.325882,2
39.993893,116.325919,2
39.993886,116.325911,2
39.993766,116.325873,2
39.993683,116.325883,2
39.993533,116.325898,2
39.993434,116.325972,2
39.993271,116.325937,2
39.993178,116.325979,2
39.993042,116.325973,2
39.99291,116.325949,2
39.992767,116.325937,2
39.99263,116.325966,2
39.992474,116.325909,2
39.992329,116.325928,2
39.99219,116.325912,2
39.992054,116.3259,2
39.991891,116.325906,2
39.991761,116.325887,2
39.99165,116.325841,2
39.991501,116.325829,2
39.991455,116.325844,2
39.991913,116.325982,2
39.992247,116.326016,2
39.992486,116.326082,2
39.993344,116.326758,2
39.993344,116.32676,2
39.993337,116.326748,2
39.993339,116.326742,2
39.993352,116.326724,2
39.993362,116.326713,2
39.993365,116.32671,2
39.993368,116.326704,2
39.993374,116.326696,2
39.993375,116.326692,2
39.993376,116.326686,2
39.993452,116.326555,2
39.993462,116.326504,2
39.992721,116.32655,2
39.991785,116.326601,2
39.991454,116.326271,2
39.991414,116.325205,2
39.991277,116.323662,2
39.991405,116.322058,2
39.99138,116.320761,2
39.991415,116.320183,2
39.991298,116.319464,2
39.99136,116.318652,2
39.991433,116.318572,2
39.991429,116.317999,2
39.991352,116.316781,2
